no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,Movable_assets,Immovable_assets
5,1,0,7900000,29900000,6,568,24600000,19700000
0,1,1,9600000,34000000,12,710,45900000,34100000
1,0,0,800000,2900000,8,682,3600000,3300000
2,0,1,4900000,13100000,18,754,23700000,11500000
5,0,1,3000000,11100000,12,441,9300000,11000000
4,1,0,300000,1000000,10,819,1100000,1000000
1,1,1,300000,600000,8,816,1300000,900000
5,0,0,8700000,33000000,4,678,33500000,37300000
1,1,0,9300000,28900000,6,526,30700000,12700000
3,0,1,9500000,20600000,2,731,29900000,17200000
1,1,1,7700000,25500000,12,549,27500000,28700000
5,1,0,3200000,10000000,14,610,12100000,6700000
5,1,0,600000,2000000,20,811,2500000,700000
0,1,0,3400000,10800000,6,439,13500000,6700000
0,1,1,7900000,24000000,20,728,29200000,34200000
3,0,0,3700000,9000000,6,483,13500000,9700000
3,1,1,5400000,14300000,4,595,24200000,6900000
0,1,1,9500000,32000000,2,500,30100000,18000000
2,0,1,9400000,30000000,16,565,37200000,5100000
4,1,1,3200000,12800000,8,638,11800000,6900000
0,1,0,7000000,18300000,6,541,29100000,12700000
5,1,0,6900000,19200000,12,408,33900000,15000000
2,1,1,8700000,18900000,2,554,29500000,5800000
0,1,0,5700000,21300000,4,697,25500000,9800000
0,0,1,4100000,11100000,16,785,13300000,12100000
3,1,0,3300000,13100000,2,554,10500000,8500000
5,1,0,6400000,18300000,8,697,26100000,13600000
4,1,0,9000000,29000000,16,590,41500000,20200000
3,1,1,4900000,12700000,8,409,24000000,4500000
5,1,1,6400000,20300000,16,348,27300000,20900000
3,0,0,3800000,11800000,4,694,13400000,500000
3,0,1,5800000,17600000,6,720,25400000,9100000
3,1,1,9000000,31500000,10,850,41700000,34200000
4,0,1,2900000,5900000,18,621,12000000,3300000
5,1,1,4200000,11200000,2,758,13400000,11800000
3,0,0,4700000,10800000,8,527,18400000,16400000
2,1,1,6300000,18100000,6,671,18600000,16100000
4,0,1,9200000,18600000,2,889,43000000,31100000
2,0,0,2200000,4800000,6,721,9100000,1900000
1,0,0,2700000,8100000,16,691,10200000,5600000
0,1,0,3800000,14800000,10,390,14100000,11600000
0,0,0,5200000,12200000,16,783,16500000,7000000
3,0,0,1600000,3500000,10,844,6800000,6700000
2,0,1,2700000,9500000,10,434,9900000,4200000
0,1,1,2900000,7600000,8,320,12700000,13600000
3,1,0,300000,500000,2,477,1200000,900000
4,0,1,8600000,23300000,12,785,28000000,22600000
0,0,0,3900000,14500000,8,545,13700000,8900000
4,1,1,3900000,12400000,12,473,16900000,11100000
0,0,0,9400000,33000000,4,616,32900000,20400000
5,1,0,3200000,7400000,2,838,13800000,5100000
3,0,0,3100000,11000000,2,543,11400000,8100000
0,1,0,7900000,26200000,18,845,33700000,28900000
1,0,0,3200000,7600000,4,592,12800000,4400000
5,1,1,5200000,18100000,8,809,19500000,9300000
0,0,1,5000000,19900000,6,748,14300000,16800000
2,0,0,4600000,17500000,20,597,18200000,17500000
1,1,0,2800000,6800000,18,596,8800000,8300000
0,0,0,3100000,9300000,6,663,11900000,2700000
4,1,1,2300000,7700000,16,589,8600000,10400000
4,0,0,3500000,8900000,4,470,14300000,3500000
2,1,0,8000000,20000000,2,502,41500000,6300000
1,1,1,300000,1000000,10,431,1000000,900000
1,1,0,500000,1700000,2,680,2100000,1500000
2,1,1,1700000,5100000,18,321,6600000,4800000
4,0,0,3500000,11600000,10,335,12600000,11500000
1,0,0,1800000,5900000,16,804,6000000,3300000
5,0,1,5300000,18200000,16,546,17400000,22500000
4,1,0,7400000,18300000,10,601,34900000,29000000
3,1,1,1800000,6400000,20,436,5700000,4400000
5,0,1,7200000,21300000,2,801,27600000,11600000
2,0,0,4500000,9100000,18,593,14900000,500000
0,1,1,2000000,6900000,4,404,7200000,6500000
5,0,1,4800000,16300000,4,523,12800000,11100000
0,0,1,3800000,11200000,20,479,17400000,7500000
0,1,0,9300000,31900000,2,331,31700000,18300000
5,0,1,7700000,16800000,20,584,31400000,13400000
0,0,1,6100000,19700000,16,678,24800000,16000000
5,0,1,7100000,20100000,4,700,20100000,19800000
2,1,1,1500000,5000000,4,613,7300000,5700000
2,0,1,5700000,15100000,18,330,22800000,9700000
0,1,0,6000000,20600000,12,339,25400000,14100000
2,1,1,7000000,23800000,10,689,23500000,13800000
0,0,1,6700000,15600000,16,768,29800000,2100000
0,1,0,8400000,22300000,14,371,31400000,12000000
3,0,1,2900000,5800000,12,353,13200000,11000000
2,0,0,2800000,11000000,16,525,8200000,10000000
1,0,1,7000000,20300000,18,726,26100000,24700000
5,0,1,3600000,12500000,12,795,15900000,13300000
5,0,0,2800000,7200000,16,424,9300000,5900000
1,0,0,8600000,26700000,10,735,31900000,20900000
4,0,1,2500000,8400000,12,761,10000000,7600000
4,0,0,9200000,30300000,10,607,38500000,40600000
0,0,1,9400000,36100000,10,615,36500000,25000000
3,0,1,7800000,20000000,14,727,25900000,11800000
1,0,1,4700000,14800000,6,661,20000000,14500000
2,0,1,4300000,12200000,14,719,19700000,7700000
4,0,1,3800000,14000000,6,711,17600000,16800000
1,1,1,9100000,31400000,4,304,39800000,30800000
4,0,0,8100000,19000000,6,375,31000000,18600000
1,0,1,3500000,7200000,2,865,16100000,7300000
3,0,1,6600000,16000000,10,510,19600000,6000000
5,1,0,2700000,8300000,8,833,10100000,5900000
2,1,1,7400000,14900000,20,627,29300000,26000000
1,0,1,9000000,33500000,2,748,37200000,17700000
2,0,1,2100000,8100000,4,592,10600000,4500000
0,1,1,700000,2000000,18,650,3300000,1700000
1,0,0,2000000,5000000,6,876,7300000,3400000
0,0,0,4100000,15400000,16,304,19300000,8200000
2,0,0,1500000,3300000,4,763,6100000,1500000
5,0,1,7100000,20800000,6,442,35300000,10000000
4,0,1,2200000,5100000,6,308,9700000,5800000
0,0,1,2500000,5400000,6,463,10000000,5400000
0,0,1,6600000,21200000,18,377,24300000,10600000
4,1,0,6200000,21900000,12,462,24900000,11400000
5,0,1,6900000,18300000,4,402,29300000,25700000
4,1,1,9300000,27500000,18,338,41500000,22000000
5,0,0,4000000,9100000,10,515,15400000,7000000
1,0,0,6800000,22900000,4,501,21700000,13300000
0,0,1,3600000,8600000,6,529,16500000,6800000
5,0,0,6700000,17700000,6,482,24200000,13600000
1,0,1,6500000,20600000,2,306,21300000,17800000
4,1,0,3900000,9000000,2,674,17100000,14400000
5,0,1,800000,1800000,8,881,3000000,1400000
0,1,0,1900000,3800000,16,542,6100000,1300000
2,1,1,4300000,12900000,20,618,13800000,15000000
1,1,0,9900000,38700000,6,670,42300000,32000000
4,1,0,2400000,6000000,6,712,7200000,9000000
5,0,1,6100000,22500000,6,776,18600000,27500000
5,0,1,3400000,11600000,16,479,13600000,14900000
5,0,0,3700000,14000000,2,469,10800000,4400000
1,1,1,500000,1700000,18,617,1900000,500000
1,0,1,9700000,35900000,2,719,31300000,27200000
1,0,1,7500000,21400000,20,655,36200000,23300000
4,0,1,2500000,9000000,10,394,10300000,8700000
2,1,1,3800000,12400000,8,340,12300000,4400000
1,0,0,2700000,10000000,2,584,11100000,9200000
5,0,1,2600000,8600000,18,651,10400000,1100000
1,0,0,7900000,27100000,10,803,28800000,29800000
5,1,0,6600000,13600000,4,861,20000000,20100000
1,0,0,800000,2400000,16,872,2800000,3600000
1,1,1,8700000,27500000,16,815,29500000,21400000
5,1,0,2800000,8200000,14,615,9400000,10700000
3,0,1,4300000,12800000,16,346,15700000,4400000
2,1,1,4600000,18400000,2,555,18400000,10100000
2,0,1,8700000,26400000,2,778,39100000,10900000
1,1,1,200000,400000,6,768,600000,400000
0,1,1,6100000,15900000,18,456,27900000,23700000
4,1,0,8900000,21100000,6,631,32000000,4400000
5,1,0,6100000,23600000,4,725,20400000,22500000
3,1,0,6200000,13200000,14,707,27300000,26100000
3,0,1,8100000,19900000,20,347,35300000,37200000
0,1,0,8200000,20300000,4,666,33700000,23300000
4,0,0,7400000,17500000,4,540,21500000,16400000
4,1,1,1100000,3000000,4,730,4700000,900000
1,0,1,8300000,17700000,10,673,32900000,29000000
2,1,0,6500000,14100000,2,709,24900000,13700000
0,1,0,4800000,19000000,12,650,20400000,8000000
0,1,0,200000,600000,12,683,400000,600000
1,1,0,4900000,14800000,12,895,23500000,16800000
4,0,0,5800000,18500000,16,436,23600000,6900000
4,0,1,7200000,23100000,14,644,22500000,16800000
2,0,1,4000000,13000000,10,552,19000000,5300000
1,0,1,7000000,16000000,4,554,34500000,21600000
5,1,0,3100000,10800000,10,681,8900000,6800000
3,1,1,4100000,13900000,20,383,19600000,4200000
2,0,0,3200000,6300000,10,339,10000000,5200000
1,1,0,3900000,15100000,12,527,14900000,15700000
2,1,0,1400000,2900000,12,490,6800000,2200000
3,1,0,5200000,17200000,18,768,15500000,14700000
5,1,1,7600000,16500000,8,534,33200000,19200000
1,0,1,4900000,15200000,10,429,17700000,13000000
2,0,0,1700000,3700000,20,558,7500000,5500000
4,1,0,7100000,14300000,14,537,24300000,24100000
0,1,1,7200000,20700000,10,733,29100000,27600000
3,1,1,300000,600000,10,515,1200000,500000
2,1,1,3800000,15000000,14,730,14300000,13700000
3,1,1,9500000,22800000,6,319,43500000,19000000
4,1,1,7800000,19500000,14,739,24800000,10900000
4,0,0,7900000,31400000,8,698,33800000,27900000
3,1,1,300000,1000000,12,469,1000000,1000000
2,1,0,3100000,9000000,20,892,11100000,10600000
1,1,1,700000,1800000,16,641,2500000,2500000
0,0,0,8600000,29000000,18,481,33100000,23800000
4,1,1,2200000,8600000,2,461,6800000,4400000
0,1,1,8900000,23000000,12,741,34200000,16800000
1,0,1,8100000,31700000,10,755,34800000,12700000
0,0,0,8900000,21600000,10,552,32600000,12200000
4,1,1,6400000,23900000,6,300,31900000,27800000
5,0,0,2500000,6400000,16,590,9300000,7100000
1,0,1,8700000,33900000,10,766,28500000,17000000
0,0,0,7100000,15900000,14,746,31500000,13400000
0,0,0,300000,700000,16,779,1400000,200000
4,1,1,1500000,3200000,10,858,6400000,1500000
3,0,0,5300000,15000000,6,717,22400000,11100000
2,1,0,1500000,4500000,18,428,6700000,5700000
5,0,0,6300000,18100000,4,590,31000000,16300000
5,0,1,8000000,28000000,10,449,21300000,20000000
1,1,1,6500000,18300000,10,722,23700000,20500000
2,1,1,4500000,16600000,4,679,16700000,13400000
5,0,0,6800000,20500000,10,578,30600000,12300000
3,1,1,5500000,20400000,10,546,17500000,18800000
0,1,1,5600000,20000000,20,606,27600000,7600000
5,0,1,4400000,10600000,20,806,13300000,13300000
4,1,0,400000,900000,18,339,1000000,900000
4,0,1,3900000,13300000,20,453,17000000,10300000
4,1,0,5600000,13300000,20,869,26500000,10800000
0,1,0,2200000,7500000,2,333,7700000,4000000
4,0,0,5300000,15800000,2,527,23600000,9000000
5,0,1,4500000,17100000,2,639,18500000,18100000
3,0,0,1000000,2800000,4,757,4700000,2600000
2,0,1,4300000,16000000,14,623,21500000,16500000
5,1,1,4000000,15500000,12,517,15600000,600000
5,1,0,3100000,9500000,20,514,9200000,11000000
5,0,1,7600000,18000000,12,452,28500000,12200000
0,1,0,6000000,22900000,16,302,24800000,18700000
2,1,1,8200000,27800000,16,827,36700000,20200000
2,1,1,7400000,28200000,8,376,22600000,26900000
1,0,1,3400000,7000000,4,534,17000000,4700000
3,1,1,8200000,20600000,10,441,35200000,27500000
4,0,0,8000000,30100000,4,431,30300000,25700000
4,0,1,9000000,30400000,20,532,43600000,28400000
1,1,1,700000,2700000,20,669,3100000,1100000
3,1,1,2200000,8800000,2,877,9500000,6300000
2,1,1,200000,600000,8,552,900000,600000
4,1,0,8200000,20700000,10,546,35600000,17800000
5,0,0,6300000,22500000,18,629,31100000,4200000
0,0,0,400000,1200000,4,766,1500000,1200000
5,0,0,6400000,21500000,16,728,27000000,5500000
4,1,1,7100000,19400000,16,363,26600000,20500000
3,1,1,6300000,17700000,2,542,21700000,17700000
1,1,1,400000,1500000,16,688,1400000,700000
3,0,0,3900000,14100000,16,496,16600000,4700000
4,0,0,4500000,15800000,14,439,19600000,15800000
3,1,1,8200000,28900000,10,447,36200000,19100000
0,0,0,7300000,16100000,2,490,32500000,9000000
4,0,0,1200000,2600000,8,872,3600000,3700000
0,0,1,9000000,34000000,4,549,32400000,10900000
5,0,0,3200000,10600000,2,432,14900000,10200000
