index,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,Movable_assets,Immovable_assets
1675,5,1,0,7900000,29900000,6,568,24600000,19700000
1164,0,1,1,9600000,34000000,12,710,45900000,34100000
192,1,0,0,800000,2900000,8,682,3600000,3300000
910,2,0,1,4900000,13100000,18,754,23700000,11500000
567,5,0,1,3000000,11100000,12,441,9300000,11000000
1558,4,1,0,300000,1000000,10,819,1100000,1000000
1207,1,1,1,300000,600000,8,816,1300000,900000
6,5,0,0,8700000,33000000,4,678,33500000,37300000
3508,1,1,0,9300000,28900000,6,526,30700000,12700000
439,3,0,1,9500000,20600000,2,731,29900000,17200000
289,1,1,1,7700000,25500000,12,549,27500000,28700000
2977,5,1,0,3200000,10000000,14,610,12100000,6700000
4199,5,1,0,600000,2000000,20,811,2500000,700000
2154,0,1,0,3400000,10800000,6,439,13500000,6700000
932,0,1,1,7900000,24000000,20,728,29200000,34200000
2622,3,0,0,3700000,9000000,6,483,13500000,9700000
3366,3,1,1,5400000,14300000,4,595,24200000,6900000
3815,0,1,1,9500000,32000000,2,500,30100000,18000000
3972,2,0,1,9400000,30000000,16,565,37200000,5100000
1647,4,1,1,3200000,12800000,8,638,11800000,6900000
1552,0,1,0,7000000,18300000,6,541,29100000,12700000
2953,5,1,0,6900000,19200000,12,408,33900000,15000000
1642,2,1,1,8700000,18900000,2,554,29500000,5800000
3179,0,1,0,5700000,21300000,4,697,25500000,9800000
2749,0,0,1,4100000,11100000,16,785,13300000,12100000
2656,3,1,0,3300000,13100000,2,554,10500000,8500000
194,5,1,0,6400000,18300000,8,697,26100000,13600000
450,4,1,0,9000000,29000000,16,590,41500000,20200000
1954,3,1,1,4900000,12700000,8,409,24000000,4500000
865,5,1,1,6400000,20300000,16,348,27300000,20900000
1964,3,0,0,3800000,11800000,4,694,13400000,500000
2794,3,0,1,5800000,17600000,6,720,25400000,9100000
29,3,1,1,9000000,31500000,10,850,41700000,34200000
3630,4,0,1,2900000,5900000,18,621,12000000,3300000
1896,5,1,1,4200000,11200000,2,758,13400000,11800000
2495,3,0,0,4700000,10800000,8,527,18400000,16400000
2925,2,1,1,6300000,18100000,6,671,18600000,16100000
2828,4,0,1,9200000,18600000,2,889,43000000,31100000
1298,2,0,0,2200000,4800000,6,721,9100000,1900000
964,1,0,0,2700000,8100000,16,691,10200000,5600000
3295,0,1,0,3800000,14800000,10,390,14100000,11600000
3724,0,0,0,5200000,12200000,16,783,16500000,7000000
1295,3,0,0,1600000,3500000,10,844,6800000,6700000
3771,2,0,1,2700000,9500000,10,434,9900000,4200000
293,0,1,1,2900000,7600000,8,320,12700000,13600000
1061,3,1,0,300000,500000,2,477,1200000,900000
4189,4,0,1,8600000,23300000,12,785,28000000,22600000
1180,0,0,0,3900000,14500000,8,545,13700000,8900000
222,4,1,1,3900000,12400000,12,473,16900000,11100000
1034,0,0,0,9400000,33000000,4,616,32900000,20400000
2451,5,1,0,3200000,7400000,2,838,13800000,5100000
573,3,0,0,3100000,11000000,2,543,11400000,8100000
3749,0,1,0,7900000,26200000,18,845,33700000,28900000
3774,1,0,0,3200000,7600000,4,592,12800000,4400000
812,5,1,1,5200000,18100000,8,809,19500000,9300000
1924,0,0,1,5000000,19900000,6,748,14300000,16800000
2422,2,0,0,4600000,17500000,20,597,18200000,17500000
2118,1,1,0,2800000,6800000,18,596,8800000,8300000
418,0,0,0,3100000,9300000,6,663,11900000,2700000
3649,4,1,1,2300000,7700000,16,589,8600000,10400000
80,4,0,0,3500000,8900000,4,470,14300000,3500000
257,2,1,0,8000000,20000000,2,502,41500000,6300000
295,1,1,1,300000,1000000,10,431,1000000,900000
1659,1,1,0,500000,1700000,2,680,2100000,1500000
1983,2,1,1,1700000,5100000,18,321,6600000,4800000
1242,4,0,0,3500000,11600000,10,335,12600000,11500000
1910,1,0,0,1800000,5900000,16,804,6000000,3300000
3098,5,0,1,5300000,18200000,16,546,17400000,22500000
3817,4,1,0,7400000,18300000,10,601,34900000,29000000
3270,3,1,1,1800000,6400000,20,436,5700000,4400000
3328,5,0,1,7200000,21300000,2,801,27600000,11600000
1163,2,0,0,4500000,9100000,18,593,14900000,500000
3258,0,1,1,2000000,6900000,4,404,7200000,6500000
3403,5,0,1,4800000,16300000,4,523,12800000,11100000
1057,0,0,1,3800000,11200000,20,479,17400000,7500000
4069,0,1,0,9300000,31900000,2,331,31700000,18300000
376,5,0,1,7700000,16800000,20,584,31400000,13400000
712,0,0,1,6100000,19700000,16,678,24800000,16000000
3188,5,0,1,7100000,20100000,4,700,20100000,19800000
1413,2,1,1,1500000,5000000,4,613,7300000,5700000
3505,2,0,1,5700000,15100000,18,330,22800000,9700000
2877,0,1,0,6000000,20600000,12,339,25400000,14100000
4032,2,1,1,7000000,23800000,10,689,23500000,13800000
842,0,0,1,6700000,15600000,16,768,29800000,2100000
1832,0,1,0,8400000,22300000,14,371,31400000,12000000
449,3,0,1,2900000,5800000,12,353,13200000,11000000
1488,2,0,0,2800000,11000000,16,525,8200000,10000000
2939,1,0,1,7000000,20300000,18,726,26100000,24700000
3931,5,0,1,3600000,12500000,12,795,15900000,13300000
3792,5,0,0,2800000,7200000,16,424,9300000,5900000
2222,1,0,0,8600000,26700000,10,735,31900000,20900000
1006,4,0,1,2500000,8400000,12,761,10000000,7600000
654,4,0,0,9200000,30300000,10,607,38500000,40600000
3803,0,0,1,9400000,36100000,10,615,36500000,25000000
4078,3,0,1,7800000,20000000,14,727,25900000,11800000
990,1,0,1,4700000,14800000,6,661,20000000,14500000
736,2,0,1,4300000,12200000,14,719,19700000,7700000
1730,4,0,1,3800000,14000000,6,711,17600000,16800000
3909,1,1,1,9100000,31400000,4,304,39800000,30800000
1108,4,0,0,8100000,19000000,6,375,31000000,18600000
411,1,0,1,3500000,7200000,2,865,16100000,7300000
2772,3,0,1,6600000,16000000,10,510,19600000,6000000
1457,5,1,0,2700000,8300000,8,833,10100000,5900000
1592,2,1,1,7400000,14900000,20,627,29300000,26000000
1467,1,0,1,9000000,33500000,2,748,37200000,17700000
4105,2,0,1,2100000,8100000,4,592,10600000,4500000
2206,0,1,1,700000,2000000,18,650,3300000,1700000
2468,1,0,0,2000000,5000000,6,876,7300000,3400000
2123,0,0,0,4100000,15400000,16,304,19300000,8200000
4184,2,0,0,1500000,3300000,4,763,6100000,1500000
657,5,0,1,7100000,20800000,6,442,35300000,10000000
2606,4,0,1,2200000,5100000,6,308,9700000,5800000
4143,0,0,1,2500000,5400000,6,463,10000000,5400000
4200,0,0,1,6600000,21200000,18,377,24300000,10600000
4068,4,1,0,6200000,21900000,12,462,24900000,11400000
2011,5,0,1,6900000,18300000,4,402,29300000,25700000
430,4,1,1,9300000,27500000,18,338,41500000,22000000
3256,5,0,0,4000000,9100000,10,515,15400000,7000000
1074,1,0,0,6800000,22900000,4,501,21700000,13300000
1071,0,0,1,3600000,8600000,6,529,16500000,6800000
1891,5,0,0,6700000,17700000,6,482,24200000,13600000
152,1,0,1,6500000,20600000,2,306,21300000,17800000
1657,4,1,0,3900000,9000000,2,674,17100000,14400000
4224,5,0,1,800000,1800000,8,881,3000000,1400000
3408,0,1,0,1900000,3800000,16,542,6100000,1300000
102,2,1,1,4300000,12900000,20,618,13800000,15000000
1027,1,1,0,9900000,38700000,6,670,42300000,32000000
2259,4,1,0,2400000,6000000,6,712,7200000,9000000
1769,5,0,1,6100000,22500000,6,776,18600000,27500000
239,5,0,1,3400000,11600000,16,479,13600000,14900000
1918,5,0,0,3700000,14000000,2,469,10800000,4400000
3128,1,1,1,500000,1700000,18,617,1900000,500000
108,1,0,1,9700000,35900000,2,719,31300000,27200000
2233,1,0,1,7500000,21400000,20,655,36200000,23300000
2245,4,0,1,2500000,9000000,10,394,10300000,8700000
2414,2,1,1,3800000,12400000,8,340,12300000,4400000
1073,1,0,0,2700000,10000000,2,584,11100000,9200000
1450,5,0,1,2600000,8600000,18,651,10400000,1100000
1176,1,0,0,7900000,27100000,10,803,28800000,29800000
2897,5,1,0,6600000,13600000,4,861,20000000,20100000
3973,1,0,0,800000,2400000,16,872,2800000,3600000
3169,1,1,1,8700000,27500000,16,815,29500000,21400000
3951,5,1,0,2800000,8200000,14,615,9400000,10700000
3003,3,0,1,4300000,12800000,16,346,15700000,4400000
332,2,1,1,4600000,18400000,2,555,18400000,10100000
2476,2,0,1,8700000,26400000,2,778,39100000,10900000
1068,1,1,1,200000,400000,6,768,600000,400000
3305,0,1,1,6100000,15900000,18,456,27900000,23700000
1084,4,1,0,8900000,21100000,6,631,32000000,4400000
1025,5,1,0,6100000,23600000,4,725,20400000,22500000
1786,3,1,0,6200000,13200000,14,707,27300000,26100000
3879,3,0,1,8100000,19900000,20,347,35300000,37200000
1117,0,1,0,8200000,20300000,4,666,33700000,23300000
3223,4,0,0,7400000,17500000,4,540,21500000,16400000
2706,4,1,1,1100000,3000000,4,730,4700000,900000
1972,1,0,1,8300000,17700000,10,673,32900000,29000000
818,2,1,0,6500000,14100000,2,709,24900000,13700000
2374,0,1,0,4800000,19000000,12,650,20400000,8000000
4212,0,1,0,200000,600000,12,683,400000,600000
1320,1,1,0,4900000,14800000,12,895,23500000,16800000
4188,4,0,0,5800000,18500000,16,436,23600000,6900000
816,4,0,1,7200000,23100000,14,644,22500000,16800000
3215,2,0,1,4000000,13000000,10,552,19000000,5300000
3449,1,0,1,7000000,16000000,4,554,34500000,21600000
776,5,1,0,3100000,10800000,10,681,8900000,6800000
3239,3,1,1,4100000,13900000,20,383,19600000,4200000
1907,2,0,0,3200000,6300000,10,339,10000000,5200000
1491,1,1,0,3900000,15100000,12,527,14900000,15700000
2547,2,1,0,1400000,2900000,12,490,6800000,2200000
3198,3,1,0,5200000,17200000,18,768,15500000,14700000
3210,5,1,1,7600000,16500000,8,534,33200000,19200000
2098,1,0,1,4900000,15200000,10,429,17700000,13000000
1937,2,0,0,1700000,3700000,20,558,7500000,5500000
1421,4,1,0,7100000,14300000,14,537,24300000,24100000
864,0,1,1,7200000,20700000,10,733,29100000,27600000
3139,3,1,1,300000,600000,10,515,1200000,500000
2618,2,1,1,3800000,15000000,14,730,14300000,13700000
554,3,1,1,9500000,22800000,6,319,43500000,19000000
1088,4,1,1,7800000,19500000,14,739,24800000,10900000
1406,4,0,0,7900000,31400000,8,698,33800000,27900000
1454,3,1,1,300000,1000000,12,469,1000000,1000000
2964,2,1,0,3100000,9000000,20,892,11100000,10600000
